subject04_leftlight.jpg,subject04,leftlight
subject01_wink.jpg,subject01,wink
subject06_surprised.jpg,subject06,surprised
subject07_glasses.jpg,subject07,glasses
subject15_rightlight.jpg,subject15,rightlight
subject12_surprised.jpg,subject12,surprised
subject10_leftlight.jpg,subject10,leftlight
subject06_happy.jpg,subject06,happy
subject03_centerlight.jpg,subject03,centerlight
subject09_rightlight.jpg,subject09,rightlight
subject01_normal.jpg,subject01,normal
subject09_leftlight.jpg,subject09,leftlight
subject13_normal.jpg,subject13,normal
subject04_happy.jpg,subject04,happy
subject14_noglasses.jpg,subject14,noglasses
subject15_sleepy.jpg,subject15,sleepy
subject04_rightlight.jpg,subject04,rightlight
subject07_sleepy.jpg,subject07,sleepy
subject11_normal.jpg,subject11,normal
subject13_centerlight.jpg,subject13,centerlight
subject03_normal.jpg,subject03,normal
subject02_leftlight.jpg,subject02,leftlight
subject05_sleepy.jpg,subject05,sleepy
subject01_rightlight.jpg,subject01,rightlight
subject14_surprised.jpg,subject14,surprised
subject09_sleepy.jpg,subject09,sleepy
subject06_glasses.jpg,subject06,glasses
subject02_happy.jpg,subject02,happy
subject12_noglasses.jpg,subject12,noglasses
subject10_rightlight.jpg,subject10,rightlight
subject06_noglasses.jpg,subject06,noglasses
subject09_sad.jpg,subject09,sad
subject06_centerlight.jpg,subject06,centerlight
subject08_sad.jpg,subject08,sad
subject13_sleepy.jpg,subject13,sleepy
subject13_surprised.jpg,subject13,surprised
subject11_leftlight.jpg,subject11,leftlight
subject05_happy.jpg,subject05,happy
subject05_leftlight.jpg,subject05,leftlight
subject05_centerlight.jpg,subject05,centerlight
subject07_surprised.jpg,subject07,surprised
subject01_sleepy.jpg,subject01,sleepy
subject07_normal.jpg,subject07,normal
subject15_normal.jpg,subject15,normal
subject07_wink.jpg,subject07,wink
subject06_rightlight.jpg,subject06,rightlight
subject04_glasses.jpg,subject04,glasses
subject14_glasses.jpg,subject14,glasses
subject08_leftlight.jpg,subject08,leftlight
subject11_wink.jpg,subject11,wink
subject10_centerlight.jpg,subject10,centerlight
subject01_noglasses.jpg,subject01,noglasses
subject15_noglasses.jpg,subject15,noglasses
subject07_happy.jpg,subject07,happy
subject09_centerlight.jpg,subject09,centerlight
subject03_rightlight.jpg,subject03,rightlight
subject03_happy.jpg,subject03,happy
